==========================================
SLURM_JOB_ID = 14488817
SLURM_JOB_NODELIST = d11-38
TMPDIR = /tmp/SLURM_14488817
==========================================

*-*-ID-*-* TRAINING GCN AGG W 1 LAYERS, 8 EDGES PER NODE ON Camelyon16

N Training Samples: 319
N Testing Samples: 80

  0%|          | 0/99 [00:00<?, ?it/s]
  1%|          | 1/99 [16:14<26:31:08, 974.17s/it]
  2%|▏         | 2/99 [28:10<22:09:36, 822.44s/it]
  3%|▎         | 3/99 [38:46<19:39:41, 737.31s/it]
  4%|▍         | 4/99 [48:10<17:38:50, 668.74s/it]
  5%|▌         | 5/99 [57:30<16:26:20, 629.58s/it]
  6%|▌         | 6/99 [1:07:17<15:53:28, 615.14s/it]
  7%|▋         | 7/99 [1:17:03<15:28:40, 605.66s/it]
  8%|▊         | 8/99 [1:26:53<15:10:59, 600.65s/it]
  9%|▉         | 9/99 [1:36:46<14:57:18, 598.21s/it]
 10%|█         | 10/99 [1:46:51<14:50:38, 600.43s/it]
 11%|█         | 11/99 [1:56:45<14:37:42, 598.44s/it]
 12%|█▏        | 12/99 [2:06:37<14:24:57, 596.52s/it]
 13%|█▎        | 13/99 [2:16:35<14:15:47, 597.06s/it]
 14%|█▍        | 14/99 [2:26:35<14:06:44, 597.69s/it]
 15%|█▌        | 15/99 [2:37:22<14:17:42, 612.64s/it]
 16%|█▌        | 16/99 [2:48:02<14:18:57, 620.93s/it]
 17%|█▋        | 17/99 [2:58:54<14:21:11, 630.14s/it]
 18%|█▊        | 18/99 [3:09:51<14:21:41, 638.29s/it]
 19%|█▉        | 19/99 [3:20:39<14:14:48, 641.11s/it]
 20%|██        | 20/99 [3:31:39<14:11:44, 646.89s/it]
 21%|██        | 21/99 [3:42:52<14:11:16, 654.82s/it]
 22%|██▏       | 22/99 [3:54:03<14:06:18, 659.46s/it]
 23%|██▎       | 23/99 [4:04:59<13:54:04, 658.49s/it]
 24%|██▍       | 24/99 [4:15:52<13:41:03, 656.84s/it]
 25%|██▌       | 25/99 [4:26:38<13:26:08, 653.62s/it]
 26%|██▋       | 26/99 [4:37:44<13:19:53, 657.45s/it]
 27%|██▋       | 27/99 [4:48:43<13:09:17, 657.75s/it]
 28%|██▊       | 28/99 [4:59:31<12:55:04, 654.99s/it]
 29%|██▉       | 29/99 [5:10:22<12:42:45, 653.80s/it]
 30%|███       | 30/99 [5:21:46<12:42:14, 662.82s/it]
 31%|███▏      | 31/99 [5:33:20<12:41:55, 672.28s/it]
 Training bag [0/319] bag loss: 0.8660
 Training bag [1/319] bag loss: 0.5789
 Training bag [2/319] bag loss: 1.4249
 Training bag [3/319] bag loss: 0.4676
 Training bag [4/319] bag loss: 0.4208
 Training bag [5/319] bag loss: 1.1841
 Training bag [6/319] bag loss: 0.4397
 Training bag [7/319] bag loss: 1.0189
 Training bag [8/319] bag loss: 0.5125
 Training bag [9/319] bag loss: 0.9065
 Training bag [10/319] bag loss: 0.5361
 Training bag [11/319] bag loss: 0.4792
 Training bag [12/319] bag loss: 0.4025
 Training bag [13/319] bag loss: 1.1897
 Training bag [14/319] bag loss: 0.4255
 Training bag [15/319] bag loss: 1.0801
 Training bag [16/319] bag loss: 0.9279
 Training bag [17/319] bag loss: 0.6474
 Training bag [18/319] bag loss: 0.5560
 Training bag [19/319] bag loss: 0.8241
 Training bag [20/319] bag loss: 0.7812
 Training bag [21/319] bag loss: 0.6635
 Training bag [22/319] bag loss: 0.6869
 Training bag [23/319] bag loss: 0.6448
 Training bag [24/319] bag loss: 0.8987
 Training bag [25/319] bag loss: 0.5780
 Training bag [26/319] bag loss: 0.5378
 Training bag [27/319] bag loss: 1.1632
 Training bag [28/319] bag loss: 0.5315
 Training bag [29/319] bag loss: 0.5307
 Training bag [30/319] bag loss: 0.4757
 Training bag [31/319] bag loss: 0.4338
 Training bag [32/319] bag loss: 0.3799
 Training bag [33/319] bag loss: 0.3186
 Training bag [34/319] bag loss: 1.8442
 Training bag [35/319] bag loss: 0.3038
 Training bag [36/319] bag loss: 0.3253
 Training bag [37/319] bag loss: 0.2706
 Training bag [38/319] bag loss: 1.7533
 Training bag [39/319] bag loss: 1.2745
 Training bag [40/319] bag loss: 0.4694
 Training bag [41/319] bag loss: 0.9895
 Training bag [42/319] bag loss: 0.6050
 Training bag [43/319] bag loss: 0.7762
 Training bag [44/319] bag loss: 0.6974
 Training bag [45/319] bag loss: 0.6805
 Training bag [46/319] bag loss: 0.6046
 Training bag [47/319] bag loss: 0.5091
 Training bag [48/319] bag loss: 0.9841
 Training bag [49/319] bag loss: 0.4596
 Training bag [50/319] bag loss: 0.9182
 Training bag [51/319] bag loss: 0.5591
 Training bag [52/319] bag loss: 0.4928
 Training bag [53/319] bag loss: 0.4683
 Training bag [54/319] bag loss: 0.3680
 Training bag [55/319] bag loss: 0.2329
 Training bag [56/319] bag loss: 0.1736
 Training bag [57/319] bag loss: 0.1391
 Training bag [58/319] bag loss: 0.1208
 Training bag [59/319] bag loss: 2.7610
 Training bag [60/319] bag loss: 1.5117
 Training bag [61/319] bag loss: 1.4068
 Training bag [62/319] bag loss: 0.9808
 Training bag [63/319] bag loss: 0.6088
 Training bag [64/319] bag loss: 0.5922
 Training bag [65/319] bag loss: 0.7418
 Training bag [66/319] bag loss: 0.6915
 Training bag [67/319] bag loss: 0.6942
 Training bag [68/319] bag loss: 0.5235
 Training bag [69/319] bag loss: 0.7024
 Training bag [70/319] bag loss: 0.7297
 Training bag [71/319] bag loss: 0.5714
 Training bag [72/319] bag loss: 0.8585
 Training bag [73/319] bag loss: 0.5545
 Training bag [74/319] bag loss: 0.7831
 Training bag [75/319] bag loss: 0.6791
 Training bag [76/319] bag loss: 0.7652
 Training bag [77/319] bag loss: 0.6942
 Training bag [78/319] bag loss: 0.6376
 Training bag [79/319] bag loss: 0.5063
 Training bag [80/319] bag loss: 0.3391
 Training bag [81/319] bag loss: 1.6900
 Training bag [82/319] bag loss: 1.1888
 Training bag [83/319] bag loss: 0.8522
 Training bag [84/319] bag loss: 0.4301
 Training bag [85/319] bag loss: 0.5892
 Training bag [86/319] bag loss: 0.2620
 Training bag [87/319] bag loss: 1.1108
 Training bag [88/319] bag loss: 0.9947
 Training bag [89/319] bag loss: 0.3807
 Training bag [90/319] bag loss: 0.8352
 Training bag [91/319] bag loss: 0.4274
 Training bag [92/319] bag loss: 0.7403
 Training bag [93/319] bag loss: 0.7521
 Training bag [94/319] bag loss: 0.6017
 Training bag [95/319] bag loss: 0.5268
 Training bag [96/319] bag loss: 0.4473
 Training bag [97/319] bag loss: 1.2431
 Training bag [98/319] bag loss: 0.3877
 Training bag [99/319] bag loss: 0.4222
 Training bag [100/319] bag loss: 1.0716
 Training bag [101/319] bag loss: 0.4569
 Training bag [102/319] bag loss: 0.4402
 Training bag [103/319] bag loss: 0.4518
 Training bag [104/319] bag loss: 0.3598
 Training bag [105/319] bag loss: 0.3357
 Training bag [106/319] bag loss: 0.2729
 Training bag [107/319] bag loss: 0.1321
 Training bag [108/319] bag loss: 2.1804
 Training bag [109/319] bag loss: 0.1809
 Training bag [110/319] bag loss: 1.5258
 Training bag [111/319] bag loss: 0.3784
 Training bag [112/319] bag loss: 0.3963
 Training bag [113/319] bag loss: 0.3855
 Training bag [114/319] bag loss: 0.3338
 Training bag [115/319] bag loss: 1.4176
 Training bag [116/319] bag loss: 1.1410
 Training bag [117/319] bag loss: 0.4438
 Training bag [118/319] bag loss: 0.9069
 Training bag [119/319] bag loss: 0.5455
 Training bag [120/319] bag loss: 0.7196
 Training bag [121/319] bag loss: 0.6344
 Training bag [122/319] bag loss: 0.6011
 Training bag [123/319] bag loss: 0.6685
 Training bag [124/319] bag loss: 0.5550
 Training bag [125/319] bag loss: 0.5441
 Training bag [126/319] bag loss: 1.0680
 Training bag [127/319] bag loss: 0.5275
 Training bag [128/319] bag loss: 0.5451
 Training bag [129/319] bag loss: 0.5078
 Training bag [130/319] bag loss: 0.4020
 Training bag [131/319] bag loss: 0.3504
 Training bag [132/319] bag loss: 0.3093
 Training bag [133/319] bag loss: 0.2089
 Training bag [134/319] bag loss: 0.1177
 Training bag [135/319] bag loss: 2.6080
 Training bag [136/319] bag loss: 0.1719
 Training bag [137/319] bag loss: 1.4377
 Training bag [138/319] bag loss: 0.3531
 Training bag [139/319] bag loss: 0.3430
 Training bag [140/319] bag loss: 1.2440
 Training bag [141/319] bag loss: 1.0050
 Training bag [142/319] bag loss: 0.8906
 Training bag [143/319] bag loss: 0.6614
 Training bag [144/319] bag loss: 0.5328
 Training bag [145/319] bag loss: 0.6996
 Training bag [146/319] bag loss: 0.3958
 Training bag [147/319] bag loss: 0.3421
 Training bag [148/319] bag loss: 0.8912
 Training bag [149/319] bag loss: 0.7441
 Training bag [150/319] bag loss: 0.6248
 Training bag [151/319] bag loss: 0.4610
 Training bag [152/319] bag loss: 0.9288
 Training bag [153/319] bag loss: 0.9494
 Training bag [154/319] bag loss: 0.7461
 Training bag [155/319] bag loss: 0.3311
 Training bag [156/319] bag loss: 0.2943
 Training bag [157/319] bag loss: 0.8499
 Training bag [158/319] bag loss: 0.9543
 Training bag [159/319] bag loss: 0.6648
 Training bag [160/319] bag loss: 0.5931
 Training bag [161/319] bag loss: 0.5800
 Training bag [162/319] bag loss: 0.6612
 Training bag [163/319] bag loss: 0.6377
 Training bag [164/319] bag loss: 0.6584
 Training bag [165/319] bag loss: 0.5228
 Training bag [166/319] bag loss: 0.3309
 Training bag [167/319] bag loss: 1.6115
 Training bag [168/319] bag loss: 0.3380
 Training bag [169/319] bag loss: 0.3300
 Training bag [170/319] bag loss: 0.2413
 Training bag [171/319] bag loss: 0.9626
 Training bag [172/319] bag loss: 1.2287
 Training bag [173/319] bag loss: 0.9168
 Training bag [174/319] bag loss: 0.3192
 Training bag [175/319] bag loss: 0.7206
 Training bag [176/319] bag loss: 0.6664
 Training bag [177/319] bag loss: 0.2405
 Training bag [178/319] bag loss: 0.6457
 Training bag [179/319] bag loss: 0.6102
 Training bag [180/319] bag loss: 0.6004
 Training bag [181/319] bag loss: 0.6149
 Training bag [182/319] bag loss: 0.8787
 Training bag [183/319] bag loss: 0.5654
 Training bag [184/319] bag loss: 0.4774
 Training bag [185/319] bag loss: 0.4569
 Training bag [186/319] bag loss: 0.3910
 Training bag [187/319] bag loss: 1.0322
 Training bag [188/319] bag loss: 0.8415
 Training bag [189/319] bag loss: 0.4579
 Training bag [190/319] bag loss: 0.2190
 Training bag [191/319] bag loss: 0.6318
 Training bag [192/319] bag loss: 0.5591
 Training bag [193/319] bag loss: 0.4027
 Training bag [194/319] bag loss: 0.2942
 Training bag [195/319] bag loss: 0.1341
 Training bag [196/319] bag loss: 2.2082
 Training bag [197/319] bag loss: 0.4856
 Training bag [198/319] bag loss: 0.3310
 Training bag [199/319] bag loss: 0.3779
 Training bag [200/319] bag loss: 1.1671
 Training bag [201/319] bag loss: 0.9614
 Training bag [202/319] bag loss: 0.2568
 Training bag [203/319] bag loss: 0.7362
 Training bag [204/319] bag loss: 0.7618
 Training bag [205/319] bag loss: 0.5337
 Training bag [206/319] bag loss: 0.3846
 Training bag [207/319] bag loss: 0.6657
 Training bag [208/319] bag loss: 0.4991
 Training bag [209/319] bag loss: 0.3417
 Training bag [210/319] bag loss: 0.3104
 Training bag [211/319] bag loss: 0.3291
 Training bag [212/319] bag loss: 0.4029
 Training bag [213/319] bag loss: 1.4658
 Training bag [214/319] bag loss: 0.7530
 Training bag [215/319] bag loss: 0.2783
 Training bag [216/319] bag loss: 0.1830
 Training bag [217/319] bag loss: 0.7344
 Training bag [218/319] bag loss: 0.5366
 Training bag [219/319] bag loss: 1.1224
 Training bag [220/319] bag loss: 0.4579
 Training bag [221/319] bag loss: 0.5422
 Training bag [222/319] bag loss: 0.3479
 Training bag [223/319] bag loss: 0.5956
 Training bag [224/319] bag loss: 0.2044
 Training bag [225/319] bag loss: 0.3458
 Training bag [226/319] bag loss: 0.2803
 Training bag [227/319] bag loss: 0.3133
 Training bag [228/319] bag loss: 1.0941
 Training bag [229/319] bag loss: 0.2230
 Training bag [230/319] bag loss: 1.0785
 Training bag [231/319] bag loss: 0.6384
 Training bag [232/319] bag loss: 0.4823
 Training bag [233/319] bag loss: 0.7002
 Training bag [234/319] bag loss: 0.3515
 Training bag [235/319] bag loss: 0.4264
 Training bag [236/319] bag loss: 0.3018
 Training bag [237/319] bag loss: 1.6297
 Training bag [238/319] bag loss: 0.2583
 Training bag [239/319] bag loss: 0.2609
 Training bag [240/319] bag loss: 0.2504
 Training bag [241/319] bag loss: 0.1426
 Training bag [242/319] bag loss: 0.1843
 Training bag [243/319] bag loss: 1.2548
 Training bag [244/319] bag loss: 0.1689
 Training bag [245/319] bag loss: 0.2488
 Training bag [246/319] bag loss: 1.6022
 Training bag [247/319] bag loss: 0.3071
 Training bag [248/319] bag loss: 0.3627
 Training bag [249/319] bag loss: 0.4051
 Training bag [250/319] bag loss: 0.3780
 Training bag [251/319] bag loss: 0.2874
 Training bag [252/319] bag loss: 0.8540
 Training bag [253/319] bag loss: 0.3355
 Training bag [254/319] bag loss: 0.7491
 Training bag [255/319] bag loss: 0.9460
 Training bag [256/319] bag loss: 0.3144
 Training bag [257/319] bag loss: 0.2026
 Training bag [258/319] bag loss: 0.7898
 Training bag [259/319] bag loss: 0.7985
 Training bag [260/319] bag loss: 1.0426
 Training bag [261/319] bag loss: 0.1751
 Training bag [262/319] bag loss: 0.2494
 Training bag [263/319] bag loss: 0.6120
 Training bag [264/319] bag loss: 0.4415
 Training bag [265/319] bag loss: 0.4590
 Training bag [266/319] bag loss: 0.3888
 Training bag [267/319] bag loss: 0.2814
 Training bag [268/319] bag loss: 1.1105
 Training bag [269/319] bag loss: 0.7265
 Training bag [270/319] bag loss: 0.8080
 Training bag [271/319] bag loss: 0.7705
 Training bag [272/319] bag loss: 0.5873
 Training bag [273/319] bag loss: 0.5821
 Training bag [274/319] bag loss: 0.4175
 Training bag [275/319] bag loss: 0.6175
 Training bag [276/319] bag loss: 0.3193
 Training bag [277/319] bag loss: 0.3133
 Training bag [278/319] bag loss: 0.2777
 Training bag [279/319] bag loss: 0.3581
 Training bag [280/319] bag loss: 0.9107
 Training bag [281/319] bag loss: 0.1601
 Training bag [282/319] bag loss: 0.4680
 Training bag [283/319] bag loss: 0.3392
 Training bag [284/319] bag loss: 0.2494
 Training bag [285/319] bag loss: 0.3141
 Training bag [286/319] bag loss: 0.3149
 Training bag [287/319] bag loss: 0.3574
 Training bag [288/319] bag loss: 0.2653
 Training bag [289/319] bag loss: 1.2065
 Training bag [290/319] bag loss: 0.3279
 Training bag [291/319] bag loss: 0.4211
 Training bag [292/319] bag loss: 0.9512
 Training bag [293/319] bag loss: 0.4257
 Training bag [294/319] bag loss: 0.2274
 Training bag [295/319] bag loss: 0.5397
 Training bag [296/319] bag loss: 0.2605
 Training bag [297/319] bag loss: 0.2506
 Training bag [298/319] bag loss: 0.4713
 Training bag [299/319] bag loss: 0.4844
 Training bag [300/319] bag loss: 0.2850
 Training bag [301/319] bag loss: 0.2027
 Training bag [302/319] bag loss: 0.3077
 Training bag [303/319] bag loss: 0.3443
 Training bag [304/319] bag loss: 0.5926
 Training bag [305/319] bag loss: 0.6253
 Training bag [306/319] bag loss: 0.3864
 Training bag [307/319] bag loss: 0.5617
 Training bag [308/319] bag loss: 0.2284
 Training bag [309/319] bag loss: 0.1889
 Training bag [310/319] bag loss: 0.1714
 Training bag [311/319] bag loss: 0.1711
 Training bag [312/319] bag loss: 0.2031
 Training bag [313/319] bag loss: 0.3808
 Training bag [314/319] bag loss: 0.4504
 Training bag [315/319] bag loss: 0.2770
 Training bag [316/319] bag loss: 0.3201
 Training bag [317/319] bag loss: 1.5400
 Training bag [318/319] bag loss: 0.2275
 Testing bag [0/80] bag loss: 0.4267
 Testing bag [1/80] bag loss: 0.1708
 Testing bag [2/80] bag loss: 0.2760
 Testing bag [3/80] bag loss: 0.2889
 Testing bag [4/80] bag loss: 0.3977
 Testing bag [5/80] bag loss: 0.3502
 Testing bag [6/80] bag loss: 0.5283
 Testing bag [7/80] bag loss: 0.2817
 Testing bag [8/80] bag loss: 0.1745
 Testing bag [9/80] bag loss: 0.1849
 Testing bag [10/80] bag loss: 1.3710
 Testing bag [11/80] bag loss: 0.3085
 Testing bag [12/80] bag loss: 0.6325
 Testing bag [13/80] bag loss: 0.4262
 Testing bag [14/80] bag loss: 0.2901
 Testing bag [15/80] bag loss: 0.3863
 Testing bag [16/80] bag loss: 0.4963
 Testing bag [17/80] bag loss: 0.2603
 Testing bag [18/80] bag loss: 0.6102
 Testing bag [19/80] bag loss: 1.2707
 Testing bag [20/80] bag loss: 0.5243
 Testing bag [21/80] bag loss: 0.4271
 Testing bag [22/80] bag loss: 0.6008
 Testing bag [23/80] bag loss: 0.3853
 Testing bag [24/80] bag loss: 0.4048
 Testing bag [25/80] bag loss: 0.3531
 Testing bag [26/80] bag loss: 0.4957
 Testing bag [27/80] bag loss: 0.1822
 Testing bag [28/80] bag loss: 0.7924
 Testing bag [29/80] bag loss: 0.6055
 Testing bag [30/80] bag loss: 0.4049
 Testing bag [31/80] bag loss: 0.3582
 Testing bag [32/80] bag loss: 0.3381
 Testing bag [33/80] bag loss: 0.4230
 Testing bag [34/80] bag loss: 0.5925
 Testing bag [35/80] bag loss: 0.1882
 Testing bag [36/80] bag loss: 0.3953
 Testing bag [37/80] bag loss: 0.4085
 Testing bag [38/80] bag loss: 0.1716
 Testing bag [39/80] bag loss: 0.1678
 Testing bag [40/80] bag loss: 0.3108
 Testing bag [41/80] bag loss: 0.3902
 Testing bag [42/80] bag loss: 0.5742
 Testing bag [43/80] bag loss: 0.5261
 Testing bag [44/80] bag loss: 0.4089
 Testing bag [45/80] bag loss: 0.4033
 Testing bag [46/80] bag loss: 0.4643
 Testing bag [47/80] bag loss: 0.4753
 Testing bag [48/80] bag loss: 0.3662
 Testing bag [49/80] bag loss: 0.1811
 Testing bag [50/80] bag loss: 0.4085
 Testing bag [51/80] bag loss: 0.3195
 Testing bag [52/80] bag loss: 0.7337
 Testing bag [53/80] bag loss: 0.4078
 Testing bag [54/80] bag loss: 0.5173
 Testing bag [55/80] bag loss: 0.4261
 Testing bag [56/80] bag loss: 1.2761
 Testing bag [57/80] bag loss: 0.4996
 Testing bag [58/80] bag loss: 0.3442
 Testing bag [59/80] bag loss: 0.3648
 Testing bag [60/80] bag loss: 0.2933
 Testing bag [61/80] bag loss: 0.6910
 Testing bag [62/80] bag loss: 0.5352
 Testing bag [63/80] bag loss: 0.4878
 Testing bag [64/80] bag loss: 0.8826
 Testing bag [65/80] bag loss: 0.1783
 Testing bag [66/80] bag loss: 0.5270
 Testing bag [67/80] bag loss: 0.5084
 Testing bag [68/80] bag loss: 0.1802
 Testing bag [69/80] bag loss: 0.1801
 Testing bag [70/80] bag loss: 0.4352
 Testing bag [71/80] bag loss: 0.5270
 Testing bag [72/80] bag loss: 0.1921
 Testing bag [73/80] bag loss: 0.2219
 Testing bag [74/80] bag loss: 0.6308
 Testing bag [75/80] bag loss: 0.5052
 Testing bag [76/80] bag loss: 0.4420
 Testing bag [77/80] bag loss: 0.1801
 Testing bag [78/80] bag loss: 0.9558
 Testing bag [79/80] bag loss: 0.3599
 Epoch [1/100] train loss: 0.6183 test loss: 0.4458, average score: 0.9250, AUC: class-0>>0.9613333333333334|class-1>>0.9580000000000001
TRUE LABELS
[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]
PREDICTIONS
[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]
--------------------------------------------------
Best model saved at: weights/04192023/13_2888.pth
Best thresholds ===>>> class-0>>0.39911097288131714|class-1>>0.45162004232406616

 Training bag [0/319] bag loss: 0.3684
 Training bag [1/319] bag loss: 0.5764
